code,label,desc
Xce,,Change to #Q Edge
Xcett,,Change to #Q Edge for a #E 3-turn
Xctr,,Counter: Turn onto #E Edge
Xrk,,Rocker: Turn onto #E Edge
Xtt,,3-turn: Turn onto #E Edge
Xttibtt,#e-InBa-3,3-turn into a #E Ina Bauer into another 3-turn
bk,#e-bk,"Stroke onto #E Edge, Double Lift Free Leg Back"
ce,#e#o,Stroke onto #E Edge
cece,#e#o#q,Stroke onto #E Edge
ceopmo,,"Change to #Q Edge, Open Mohawk"
cesw,#e#o-sw,"Stroke onto #E Edge, Swing"
cett,#e#o3,Stroke onto #E Edge
cexrk,#e-Rk,Change to #Q Edge for a #E Rocker
ch,#e-Ch,#E Chassé
chox,#e,Choctow: Turn onto #E Edge
choxb,,Choctow: Turn onto #E Edge
clcho,#e-ClCho,#E Closed Choctow
clmo,#e-ClMo,#E Closed Mohawk
co,#e,Crossover onto #E Edge
cr,CR-#e,Cross Roll onto #E Edge
crswr,CR-#e-swR,"Cross Roll onto #E Edge, Swing"
crtt,CR-#e3,Cross Roll into a #E 3-turn
dl,#e,"Stroke onto #E Edge, Double Lift Free Leg"
e,,Continue on #E Edge
ff,#e-#rff,#E Slip Step
mox,#e,Mohawk: Turn onto #E Edge
moxdl,#e,"Mohawk: Turn onto #E Edge, Double Lift Free Leg"
opmo,#e-opMo,#E Open Mohawk
pr,#e,Progressive: Stroke onto #E Edge
prb,#e-Pr,Progressive: Stroke onto #E Edge
prx,#e-Pr,Progressive: Cross onto #E Edge
s,#e,Step Briefly on #E Edge
slch,#e-slCh,#E Slide Chassé
slchk,#e-slCh,"#E Slide Chassé, Fold #R Leg and Kick"
slm,#e/#r#d#o-slm,#E / #R #D #O Slalom
slme,#e/#r#d#o-slm-#e,"#E / #R #D #O Slalom, Push onto #E Edge"
spr,#e=spr,#E Spiral
swclmo,#e-SwClMo,#E Swing Closed Mohawk
swctr,#e-SwCtr,#E Swing Counter
swclcho,Sw-ClCho,Swing Closed Choctow
swopcho,Sw-opCho,Swing Open Choctow
swr,#e-swR,"Stroke onto #E Edge, Swing Roll"
swrk,#e-SwRk,#E Swing Rocker
swtt,#e-Sw3,#E Swing 3-turn
tt,#e3,#E 3-turn
ttxce,#e#o,3-turn: Turn onto #E Edge
tw1,#e-Tw1,Stroke into a #E Twizzle
tw.,,Twizzle
twl1,Sw-“Tw1”,Twizzle Like Motion
twl1.,,Twizzle Like Motion
wd,Wd-#e,Wide Step onto #E Edge
wds,Wd-#e,Wide Step Briefly onto #E Edge
wdtt,Wd-#e3,Wide Step into a #E 3-turn
wdxfopcho,Wd-XF-opCho,Wide Step Cross in Front Open Choctow
wdxbclcho,Wd-XB-ClCho,Wide Step Cross Behind Closed Choctow
xb,XB-#e,Cross Behind onto #E Edge
xbce,XB-#e#o,Cross Behind onto #E Edge
xbch,XB-#e-Ch,Cross Behind into a #E Chassé
xbctr,XB-#e-Ctr,Cross Behind into a #E Counter
xbopmo,XB-#e-opMo,Cross Behind into a #E Open Mohawk
xcut,Xcut-#e,Cross Cut onto #E Edge
xf,XF-#e,Cross in Front onto #E Edge
xfce,XF-#e#o,Cross in Front onto #E Edge
xfopcho,XF-OpCho,Crossed in Front Open Choctow
xfsrk,XF-#e-Rk,Cross in Front into a Shallow #E Rocker
xfttt,#e-XFt3,#E Behind Cross Foot 3-turn
xftw1,XF-#e-Tw1,Cross in Front onto #E Edge for a 1 Rotation Twizzle
,#e,Stroke onto #E Edge
