index,pathCount,beats,edge,step,group,optional,hold,labelOffset
1,,6,LBO,s_swr,,,cl,
2,,3,RFO,swtt,1,,cl,
,,3_,RBI,tt_e,1,,cl,
3,,6,LBO,s_swr,,,cl,
4,,6,RBO,s_swr,,,cl,
5,,3,LFO,swtt,2,,cl,
,,3_,LBI,tt_e,2,,cl,
6,,6,RBO,s_swr,,,cl,
7,,6,LBO,s_swr,,,cl,
8,,3,RFO,swtt,3,,cl,
,,3_,RBI,tt_e,3,,cl,
9,,6,LBO,s_swr,,,cl,
10,,6,RBO,s_swr,,,cl,
11,,3,LFO,swtt,4,,cl,
,,3_,LBI,tt_e,4,,cl,
12,,6,RBO,s_swr,,,cl,
13,,6,LBO,s_swr,,,cl,
14,,6,RBO,s_swr,,,cl,
15,,3,LFO,swtt,5,,cl,
,,3_,LBI,tt_e,5,,cl,
16,,6,RBO,s_swr,,,cl,
1,,3,RFO,swtt,1,,cl,
,,3_,RBI,tt_e,1,,cl,
2,,6,LBO,s_swr,,,cl,
3,,6,RFO,s_swr,,,cl,
4,,3,LFO,swtt,2,,cl,
,,3_,LBI,tt_e,2,,cl,
5,,6,RBO,s_swr,,,cl,
6,,6,LFO,s_swr,,,cl,
7,,3,RFO,swtt,3,,cl,
,,3_,RBI,tt_e,3,,cl,
8,,6,LBO,s_swr,,,cl,
9,,6,RFO,s_swr,,,cl,
10,,3,LFO,swtt,4,,cl,
,,3_,LBI,tt_e,4,,cl,
11,,6,RBO,s_swr,,,cl,
12,,6,LFO,s_swr,,,cl,
13,,6,RFO,s_swr,,,cl,
14,,3,LFO,swtt,5,,cl,
,,3_,LBI,tt_e,5,,cl,
15,,6,RBO,s_swr,,,cl,
16,,6,LFO,s_swr,,,cl,
