index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFO,pr,ee,,,op,
2,,1,RFI,prx,pr,,,op,
3,,1,LFO,pr,ee,,,op,
4,,1,RFI,,ch,,,op,
5,,1,LFO,pr,ee,,,op,
6,,1,RFI,prx,pr,,,op,
7,,2,LFO,pr,ee,,,op,
8,,1,RFO,cr,ee,,,op,
9,,1,LFI,xb,ce,9,,op,
,,2_,LFO,,Xce,9,,op,
10,,1,RFI,xb,ce,10,,op,
,,1_,RFO,,Xce,10,,op,
11,,1.5,LFI,xf,ee,,,cl,
,,0.5*,RFI,sb,ee,,,cl,
12,,2,LFO,,,,,cl,
13,,1,RFO,cr,tt,13,,cl,
,,1_,RBI,tt,e,13,,cl,
14,,2,LBO,,,,,cl,
15,,2,RFO,,,,,cl,
16a,,1,LFO,,,,,cl,
16b,,1,RFI,,ch,,,cl,
17,,1,LFO,pr,ee,,,k,
18,,1,RFI,prx,pr,,,k,
19,,2,LFO,pr,ee,,,k,
20,,4,RFO,cr,swr,,,k,
21,,1,LFO,pr,ee,,,k,
22,,1,RFI,prx,pr,,,k,
23,,3.5,LFO,,swtwl1,23,,k,
,,0.25*,LFI,,Xce,23,,k,
,,0.25*,LBO,tw,e,23,,k,
24,,4,RFO,,,,,cl,
25,,1,LFO,cr,tt,25,,cl,
,,1_,LBO,tt,e,25,,cl,
26,,2,RBO,,,,,cl,
27,,2,LBO,cr,ee,,,out,
28,,1,RBO,cr,ee,,,out,
29,,1,LBO,cr,ee,,,out,
30,,1,RBO,cr,ee,,,out,
31,,2.5,LBO,cr,swr,31,,out,
,,0.5*,RFI,sb,ee,31,,out,
1,,1,LFO,pr,ee,,,op,
2,,1,RFI,prx,pr,,,op,
3,,1,LFO,pr,ee,,,op,
4,,1,RFI,,ch,,,op,
5,,1,LFO,pr,ee,,,op,
6,,1,RFI,prx,pr,,,op,
7,,2,LFO,pr,ee,,,op,
8,,1,RFO,cr,ee,,,op,
9,,1,LFI,xb,ce,9,,op,
,,2_,LFO,,Xce,9,,op,
10,,1,RFI,xb,ctr,10,,op,
,,1_,RBI,ctr,e,10,,op,
11,,2,LBO,,,,,cl,
12,,2,RBO,,,,,cl,
13,,2,LBO,cr,ee,,,cl,
14,,1,RFO,s,tt,14,,cl,
,,1_,RBI,tt,e,14,,cl,
15,,2,LBO,,,,,cl,
16,,2,RBO,,,,,cl,
17,,1,LFO,pr,ee,,,k,
18,,1,RFI,prx,pr,,,k,
19,,2,LFO,pr,ee,,,k,
20,,4,RFO,cr,swr,,,k,
21,,1,LFO,pr,ee,,,k,
22,,1,RFI,prx,pr,,,k,
23,2,3.5,LFO,,swopcho,23,,k,
,,0.5*,RBI,cho,e,23,,k,
24,,4,LBO,,,,,cl,
25,,2,RBO,,,,,cl,
26,,2,LFO,,,,,cl,
27,,2,RFO,cr,ee,,,out,
28,,1,LFO,cr,ee,,,out,
29,,1,RFO,cr,ee,,,out,
30,,1,LFO,cr,ee,,,out,
31,,3,RFO,cr,swr,,,out,
