index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold,labelOffset
1,,1,,LBO,cr,ee,,,po,
2,,1,,RBI,xf,ee,,,cl,
3,,2,,LBO,s,ee,,,cl,
4a,,1,,RBO,cr,ee,,,out,
4b,,1,,LBI,xf,ee,,,op,
5,,4,,RBO,s,ee,,,op,
6,,2,,LFO,s,ee,,,op,
7,,4,,RFO,cr,swr,,,op,
8,,2,,LFO,pr,ee,1,,op,
9,,1,,RFI,prx,pr,1,,op,
10,,1,,LFO,pr,ee,1,,op,
11,,2,,RFI,prx,pr,1,,op,
12,2,2,,LFI,s,clcho,2,,op,
13,,2,,RBO,cho,ee,2,,op,
14,,4,,LBO,cr,ee,,,op,0.3
15,,2,,RFI,s,ee,,,op,
16,,1,,LFO,s,tt,3,,op,
,,1,+,LBI,tt,e,3,,cl,
17,,2,,RBO,s,ee,,,cl,
1,,1,,RFO,cr,ee,,,po,
2,,1,,LFI,prx,pr,,,cl,
3,,2,,RFO,s,ee,,,cl,
4,,1,,LFO,cr,tt,3,,out,
,,1,+,LBI,tt,e,3,,op,
5,,4,,RBO,s,ee,,,op,
6,,2,,LFO,s,ee,,,op,
7,,4,,RFO,cr,swr,,,op,
8,,2,,LFO,pr,ee,1,,op,
9,,1,,RFI,prx,pr,1,,op,
10,,1,,LFO,pr,ee,1,,op,
11,,2,,RFI,prx,pr,1,,op,
12,2,2,,LFI,s,clcho,2,,op,
13,,2,,RBO,cho,ee,2,,op,
14,,4,,LBO,cr,ee,,,op,0.3
15,,2,,RFI,s,ee,,,op,
16a,,1,,LFO,s,ee,,,op,
16b,,1,,RFI,,ch,,,cl,
17,,2,,LFO,s,ee,,,cl,
