index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,3,LBO,,,,,cl,
2,,2,RFO,s,tt,1,,cl,
,,1_,RBI,tt,e,1,,cl,
3,,3,LBO,,,,,cl,
4,,3,RBO,,,,,cl,
5,,2,LFO,s,tt,2,,cl,
,,1_,LBI,tt,e,2,,cl,
6,,3,RBO,,,,,cl,
7,,3,LBO,,,,,cl,
8,,2,RFO,s,tt,3,,cl,
,,1_,RBI,tt,e,3,,cl,
9,,3,LBO,,,,,cl,
10,,3,RBO,,,,,cl,
11,,2,LFO,s,tt,4,,cl,
,,1_,LBI,tt,e,4,,cl,
12,,3,RBO,,,,,cl,
13,,2,LFO,s,tt,5,,cl,
,,1_,LBI,tt,e,5,,cl,
14,,3,RBO,,,,,cl,
15,,2,LFO,s,tt,6,,cl,
,,1_,LBI,tt,e,6,,cl,
16,,3,RBO,,,,,cl,
17,,2,LFO,s,tt,7,,cl,
,,1_,LBI,tt,e,7,,cl,
18,,3,RBO,,,,,cl,
1,,2,RFO,cr,tt,1,,cl,
,,1_,RBI,tt,e,1,,cl,
2,,3,LBO,,,,,cl,
3,,3,RFO,,,,,cl,
4,,2,LFO,cr,tt,2,,cl,
,,1_,LFI,tt,e,2,,cl,
5,,3,RBO,,,,,cl,
6,,3,LFO,,,,,cl,
7,,2,RFO,cr,tt,3,,cl,
,,1_,RBI,tt,e,3,,cl,
8,,3,LBO,,,,,cl,
9,,3,RFO,,,,,cl,
10,,2,LFO,cr,tt,4,,cl,
,,1_,LFI,tt,e,4,,cl,
11,,3,RBO,,,,,cl,
12,,2,LFO,s,tt,5,,cl,
,,1_,LFI,tt,e,5,,cl,
13,,3,RBO,,,,,cl,
14,,2,LFO,s,tt,6,,cl,
,,1_,LFI,tt,e,6,,cl,
15,,3,RBO,,,,,cl,
16,,2,LFO,s,tt,7,,cl,
,,1_,LFI,tt,e,7,,cl,
17,,3,RBO,,,,,cl,
18,,3,LFO,,,,,cl,
