index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold,labelOffset
1,,1,,RBO,pr,ee,1,,cl,
2,,1,,LBI,prx,pr,1,,cl,
3,,2,,RBO,pr,ee,1,,cl,
4,,4,,LBO,s,swr,,,cl,
5,,1,,RBO,pr,ee,2,,cl,
6,,1,,LBI,prx,pr,2,,cl,
7,,2,,RBO,pr,ee,2,,cl,
8,,1,,LFO,s,ee,,,soc,
9,,1,,RFI,xb,ee,,,soc,
10,,1,,LFO,pr,ee,3,,soc,
11,,1,,RFI,prx,pr,3,,soc,
12,,1,,LFO,s,opmo,4,,soc,
13,,1,,RBO,mo,ee,4,,soc,
14,,2,,LBI,s,ee,,,cl,
1,,1,,LFO,pr,ee,1,,cl,
2,,1,,RFI,prx,pr,1,,cl,
3,,2,,LFO,pr,ee,1,,cl,
4,,4,,RFO,s,swr,,,cl,
5,,1,,LFO,pr,ee,2,,cl,
6,,1,,RFI,prx,pr,2,,cl,
7,,2,,LFO,pr,ee,2,,cl,
8,,1,,RFI,s,opmo,3,,soc,
9,,1,,LBI,mo,ee,3,,soc,
10,,1,,RBO,pr,ee,4,,soc,
11,,1,,LBI,prx,pr,4,,soc,
12,,1,,RBO,pr,ee,4,,soc,
13,,1,,LFI,xf,ee,,,soc,
14,,2,,RFI,s,ee,,,cl,
