index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFO,s,ee,,,op,
2,,1,RFI,xb,ee,,,op,
3,,2,LFO,s,ee,,,op,
4,,4,RFO,cr,ee,,,cl,
5,,1,LFO,cr,tt,,,cl,
,,1_,LBI,tt,e,,,cl,
6,,1,RBO,pr,ee,1,,cl,
7,,1,LBI,prx,pr,1,,cl,
8,,2,RBO,pr,ee,1,,po,
9,,2,LBO,cr,ee,,,cl,
10,,2,RFO,s,ee,,,cl,
11,,2,LFO,s,clmo,2,,cl,
12,,4,RBO,mo,ee,2,,op,
13,,2,LFI,s,ee,,,op,
14,,2,RFI,s,ee,,,op,
1,,1,LFO,s,ee,,,op,
2,,1,RFI,xb,ee,,,op,
3,,2,LFO,s,ee,,,op,
4a,,1,RFO,cr,tt,1,,cl,
,,1_,RBI,tt,e,1,,cl,
4b,,2,LBO,s,ee,,,cl,
5,,2,RBO,s,ee,,,cl,
6,,1,LFO,pr,ee,2,,cl,
7,,1,RFI,prx,pr,2,,cl,
8,,2,LFO,pr,ee,2,,po,
9,,1,RFO,cr,tt,3,,cl,
,,1_,RBI,tt,e,3,,cl,
10,,2,LBO,s,ee,,,cl,
11a,,1,RBO,pr,ee,4,,cl,
11b,,1,LBI,prx,pr,4,,cl,
12,,4,RBO,pr,ee,4,,op,
13,,2,LFI,s,ee,,,op,
14,,2,RFI,s,ee,,,op,
