index,duration,pathCount,beats,edge,step,group,optional,hold
1,,,1,LFO,,,,k
2,,,1,RFI,ch,,,k
3,,,2,LFO,,,,k
4,,,1,RFO,,,,k
5,,,1,LFI,ch,,,k
6,,,2,RFO,,,,k
7,,,1,LFO,pr,pr1,,k
8,,,1,RFI,prx,pr1,,k
9,,,2,LFO,pr,pr1,,k
10,,,1,RFO,cr,,,k
11,,,3,LFI,slchk,,,k
12,,,1,RFO,pr,pr2,,k
13,,,1,LFI,prx,pr2,,k
14,,,2,RFO,pr,pr2,,k
15,,,1,LFO,cr,,,k
16,,,3,RFI,slchk,,,k
17,,,1,LFO,tt,3,,cl
,,,1,LBI,_tt,3,,cl
18,,,4,RBO,swr,,,cl
19,,,2,LBO,,,,cl
20,,,4,RFO,swr,,,cl
21a,,,1,LFO,,,,cl
21b,,,1,RFI,ch,,,cl
22,,,1,LFO,pr,pr3,,k
23,,,1,RFI,prx,pr3,,k
1,,,1,LFO,,,,k
2,,,1,RFI,ch,,,k
3,,,2,LFO,,,,k
4,,,1,RFO,,,,k
5,,,1,LFI,ch,,,k
6,,,2,RFO,,,,k
7,,,1,LFO,pr,pr1,,k
8,,,1,RFI,prx,pr1,,k
9,,,2,LFO,pr,pr1,,k
10,,,1,RFO,cr,,,k
11,,,3,LFI,slchk,,,k
12,,,1,RFO,pr,pr2,,k
13,,,1,LFI,prx,pr2,,k
14,,,2,RFO,pr,pr2,,k
15,,,1,LFO,cr,,,k
16,,,3,RFI,slchk,,,k
17a,,,1,LFO,,,,cl
17b,,,1,RFI,ch,,,cl
18,,,4,LFO,swr,,,cl
19,,,1,RFO,tt,3,,cl
,,,1,RBI,_tt,3,,cl
20,,,4,LBO,swr,,,cl
21,,,2,RBO,,,,cl
22,,,1,LFO,pr,pr3,,k
23,,,1,RFI,prx,pr3,,k
