index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFI,,,,,,
2,,1,RFO,,,,,,
3a,,0.5,LFI,,xfttt,3a,,,
,,0.5_,LBO,tt,e,3a,,,
3b,,0.5,RFO,,xfttt,3b,,,
,,0.5_,RBI,tt,e,3b,,,
4,,3,LBO,xb,ce,4,,,
,,1_,LBI,,Xce,4,,,
5,,1,RBO,,,,,,
6,,1,LBI,pr,prb,,,,
7,,2,RBO,s,cett,7,,,
,,1_,RBI,ce,Xcett,7,,,
,,3_,RFO,tt,e,7,,,
8,,1,LFI,prx,prx,,,,
9,,1,RFI,wd,wd_tt,9,,,
,,2_,RBO,tt,e,9,,,
10,,1,LFO,,,,,,
11a,,1,RFI,prx,prx,,,,
11b,,1,LFO,s,s_tt,11b,,,
,,1_,LBI,tt,e,11b,,,
11c,,1,RBO,s,s_tt,11c,,,
,,3,RFI,tt,ce,11c,,,
,,1.5,RFO,ce,Xcerk,11c,,,
,,0.5_,RBO,rk,e,11c,,,
12,,1,LBI,xf,xf_tw1,12,,,
,,0.25*,LFO,,tw,12,,,
,,0.25*,LBI,,tw,12,,,
,,0.5*,RBO,sb,ee,,,,
13,,4,LFO,,,,,,
14,,4,RFO,cr,cr_swr,,,,
15,,1,LFO,s,s_tt,15,,,
,,1_,LBI,tt,e,15,,,
16,,2,RBO,,,,,,
17,,1,LBO,cr,cr_tt,17,,,
,2,1_,LFI,tt,Xttibtt,17,,,
,2,2_,LBO,tt,e,17,,,
18,,1.5,RBI,xf,ee,,,,
,,0.5*,LBI,wdsb,wdbe,,,,
19,,1,RBO,s,s_tw1,19,,,
,,0.5,RFI,,tw,19,,,
,,0.5*,RBO,,tw,19,,,
,,2*,RBO,,e,19,,,
20,,1,LFO,,,,,,
21,,1,RFI,prx,prx,,,,
22,,1,LFO,,,,,,
23,,1,RFI,,,23,,,
,,2,RBI,,,23,,,
,,2,RBI,,,23,,,
,,1,RFO,,,23,,,
,,1,RBI,,,23,,,
24,,2,LBI,,,,,,
25,,1,RBO,,,,,,
26a,,1,LBI,co,ee,,,,
26b,,4,RBO,s,s_swr,,,,
