index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,RBO,pr,ee,1,,out,
2,,1,LBI,pr,pr,1,,out,
3,,1,RBO,pr,ee,1,,out,
4,,1,LBI,,ch,,,out,
5,,1,RBO,s,ee,,,out,
6,,1,LBI,,ch,,,out,
7,,1,RBO,s,ee,,,out,
8,2,1,LB,,ff,,,out,
9,2,1,RB,,ff,,,out,
10,,1,LBO,xb,ee,,,out,
11,,0.5,RBI,xf,ce,2,,out,
,,0.5_,RBO,c,e,2,,out,
12,,1,LBI,xb,ee,,,out,
13,,1,RBO,s,ee,,,out,
14,,1,LBI,xb,ee,,,out,
15,,1,RBO,s,ee,,,out,
16,,1,LBI,xf,ee,,,cl,
17,,2,RFI,s,ee,,,cl,
18,,1,LFO,s,ee,,,out,
19,,1,RFI,xb,ee,,,out,
20a,,1,LFO,s,ee,,,out,
20b,,1,RFI,,ch,,,ch,
21,,1,LFO,s,ee,,,op,
22,,1,RFI,,ch,,,op,
23,,1,LFO,pr,ee,3,,op,
24,,1,RFI,prx,pr,3,,op,
25,,1,LFO,pr,ee,3,,op,
26,,1,RFO,cr,ee,,,op,
27,,1,LFO,cr,ee,,,op,
28,,2,RFO,cr,swr,4,,op,
,,0.5*,RFI,ce,opmo,4,,op,
,,0.5*,LBI,mo,ee,4,,op,
1,,1,LFO,pr,ee,1,,out,
2,,1,RFI,prx,pr,1,,out,
3,,1,LFO,pr,ee,1,,out,
4,,1,RFI,,ch,,,out,
5,,1,LFO,s,ee,,,out,
6,,1,RFI,,ch,,,out,
7,,1,LFO,s,ee,,,out,
8,2,1,RF,,ff,,,out,
9,2,1,LF,,ff,,,out,
10,,1,RFO,xf,ee,,,out,
11,,0.5,LFI,xb,ce,2,,out,
,,0.5_,LFO,c,e,2,,out,
12,,1,RFI,xf,ee,,,out,
13,,1,LFO,pr,ee,3,,out,
14,,1,RFI,prx,pr,3,,out,
15,,1,LFO,xb,opmo,4,,out,
16,,1,RBO,mo,ee,4,,cl,
17,,2,LBI,s,ee,,,cl,
18,,1,RBO,s,ee,,,out,
19,,1,LBI,xf,ee,,,out,
20,,2,RBO,s,ee,,,out,
21,,1,LFO,s,ee,,,op,
22,,1,RFI,,ch,,,op,
23,,1,LFO,pr,ee,5,,op,
24,,1,RFI,prx,pr,5,,op,
25,,1,LFO,pr,ee,5,,op,
26,,1,RFO,cr,ee,,,op,
27,,1,LFO,cr,ee,,,op,
28,,3,RFO,cr,swr,,,op,
