index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFO,,,,,k,
2,,1,RFI,,ch,,,k,
3,,1,LFO,pr,ee,1,,k,
4,,1,RFI,prx,pr,1,,k,
5,,3.75,LFO,,,2,,k,
,,0.25*,LFO,,swclcho,2,,k,
6,,2,RBI,s,ce,3,,k,
,,1_,RBO,,Xce,3,,k,
7,,1,LBI,xb,ee,,,k,
8,,1,RBI,,,,,k,
9,,1,LBO,xf,ee,,,k,
10,,4,RBO,xb,ee,,,k,
11,,2,LFI,,,,,k,
12,,2,RFI,,,,,k,
13,,1,LFO,pr,ee,4,,k,
14,,1,RFI,prx,pr,4,,k,
15,,1,LFO,pr,ee,4,,k,
16,,1,RFO,cr,ee,,,k,
17,,0.5,LFI,xb,ce,5,,k,
,,0.5_,LFO,,Xce,5,,k,
18,,1,RFI,xf,ee,,,k,
