index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFO,,,,,k,
2,,1,RFI,,ch,,,k,
3,,2,LFO,s,cece,,,k,
,,1_,LFI,,Xce,,,k,
,,1_,LFO,,Xce,,,k,
4,,2,RFI,xf,xf_e,,,k,
5,,4,LFO,,,,,k,
6,,2,RFO,cr,cr_e,,,k,
7,,1,LFI,xb,xb_e,,,k,
8,,1,RFI,wd,wd_e,,,k,
9,,2,LFO,,,,,k,
10,,4,RFI,xb,xb_e,,,k,
11,,3.75,LFI,wd,wd_e,11,,k,
,,0.25*,LFI,wdxf,wdxf_opcho,11,,k,
12,,3.75,RBO,cho,cho_e,12,,k,
,,0.25*,RBO,wdxb,wdxb_clcho,12,,k,
13,,4,LFI,cho,cho_e,12,,k,
14,,4,RFI,s,s_tt,14,,k,
,,2_,RBO,tt,tt_e,14,,k,
15,,2,LBO,cr,cr_e,,,k,0.3
16,,2,RBI,xf,xf_e,,,k,
