index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold
1,,1,,LFO,s,ee,,,op
2,,1,,RFI,xb,ee,,,op
3,,1,,LFO,s,ee,,,op
4,,1,,RFI,prx,pr,,,op
5,,1,,LFO,s,swrk,1,,cl
,2,3,+,LBO,rk,e,1,,cl
6,,2,,RBO,s,ee,,,cl
7,,4,,LFO,s,ee,,,op
8,,2,,RFO,cr,ee,,,op
9,,2,,LFI,prx,pr,,,op
10,,2,,RFO,s,ee,,,op
11,,2,,LFO,s,clmo,2,,op
12,,2,,RBO,mo,ee,2,,op
13,,2,,LBI,xf,ee,,,op
14,,2,,RFI,s,ee,,,op
1,,1,,LFO,s,ee,,,op
2,,1,,RFI,xb,ee,,,op
3,,1,,LFO,s,ee,,,op
4,,1,,RFI,prx,pr,,,op
5a,,2,,LFO,s,ee,,,cl
5b,,2,,RFO,s,ee,,,cl
6,,1,,LFO,s,tt,1,,cl
,,1,+,LBI,tt,e,1,,cl
7a,,2,,RBO,s,ee,,,op
7b,,2,,LFO,s,ee,,,op
8,,2,,RFO,cr,ee,,,op
9,,2,,LFI,prx,pr,,,op
10,,2,,RFO,s,ee,,,op
11,,2,,LFO,s,clmo,2,,op
12,,2,,RBO,mo,ee,2,,op
13,,2,,LBI,xf,ee,,,op
14,,2,,RFI,s,ee,,,op
