index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,2,RBO,s,ee,,,cl,
2,,1,LBI,,ch,,,cl,
3,,3,RBO,s,ee,,,cl,
4,,2,LBO,s,ee,,,cl,
5,,1,RBI,,ch,,,cl,
6,,3,LBO,s,ee,,,cl,
7,,2,RBO,s,ee,,,cl,
8,,1,LBI,,ch,,,cl,
9,,3,RBO,s,ce,1,,cl,
,,3_,RBI,c,e,1,,cl,
10,,6,LBO,s,swr,,,cl,
11,,3,RBO,s,ee,,,cl,
12,,2,LFO,s,tt,2,,cl,
,,1_,LBI,tt,e,2,,cl,
13,,3,RBO,s,ee,,,cl,
14,,2,LFO,s,tt,3,,cl,
,,1_,LBI,tt,e,3,,cl,
15,,3,RBO,s,ee,,,cl,
16,,3,LFO,s,clmo,4,,cl,
17,,6,RBO,mo,dl,4,,op,
18,,3,LFI,s,ee,,,op,
19a,,2,RFI,s,opmo,5,,op,
19b,,1,LBI,mo,ee,5,,cl,
20,,6,RBO,s,swr,,,cl,0.4
21,,2,LFI,s,opmo,6,,cl,
22,,1,RBI,mo,ee,6,,cl,
23,,6,LBO,s,swr,,,cl,
24,,2,RFI,s,opmo,7,,cl,0.4
25,,1,LBI,mo,ee,7,,cl,
26,,3,RBO,s,ee,,,ch,
27,,3,LBO,cr,ee,,,ch,
28,,3,RFO,s,ee,,,ch,
29a,,2,LFO,s,ee,,,ch,
29b,,1,RFI,xb,ch,,,ch,
30,,3,LFO,s,ee,,,k,
31,,6,RFO,cr,swr,,,k,
32,,3,LFO,s,swtt,8,,k,
,,3_,LBI,tt,e,8,,cl,
1,,2,LFO,s,ee,,,cl,
2,,1,RFI,,ch,,,cl,
3,,3,LFO,s,ee,,,cl,
4,,2,RFO,s,ee,,,cl,
5,,1,LFI,,ch,,,cl,
6,,3,RFO,s,ee,,,cl,
7,,2,LFO,s,ee,,,cl,
8,,1,RFI,,ch,,,cl,
9,,3,LFO,s,ce,1,,cl,
,,3_,LFI,c,e,1,,cl,
10,,6,RFO,s,swr,,,cl,
11,,2,LFO,s,tt,2,,cl,
,,1_,LBI,tt,e,2,,cl,
12,,3,RBO,s,ee,,,cl,
13,,2,LFO,s,tt,3,,cl,
,,1_,LBI,tt,e,3,,cl,
14,,3,RBO,s,ee,,,cl,
15,,2,LFO,s,tt,4,,cl,
,,1_,LBI,tt,e,4,,cl,
16a,,2,RBO,pr,ee,5,,cl,
16b,,1,LBI,pr,pr,5,,cl,
17,,6,RBO,s,dl,,,op,
18,,3,LFI,s,ee,,,op,
19,,3,RFI,s,ee,,,op,
20,,6,LFO,s,swr,,,cl,0.4
21,,2,RFO,s,ee,,,cl,
22,,1,LFI,,ch,,,cl,
23,,6,RFO,s,swr,,,cl,
24,,2,LFO,s,ee,,,cl,0.4
25,,1,RFI,,ch,,,cl,
26,,3,LFO,s,ee,,,ch,0.4
27,,3,RFO,cr,ee,,,ch,
28,,2,LFO,cr,tt,6,,ch,0.4
,,1_,LBI,tt,e,6,,ch,
29,,3,RBO,s,ee,,,ch,
30,,3,LFO,s,ee,,,k,
31,,6,RFO,cr,swr,,,k,
32a,,3,LFO,s,ee,,,k,
32b,,3,RFI,,slch,,,cl,
