index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold
1,,1,,LFO,s,ee,,,cl
2,,1,,RFI,,ch,,,cl
3,,2,,LFO,s,ee,,,cl
4,,1,,RFO,s,ee,,,cl
5,,1,,LFI,,ch,,,cl
6,,2,,RFO,s,ee,,,cl
7,,4,,LFO,s,swr,,,cl
8,,4,,RFO,s,swr,,,cl
9,,2,,LFO,s,ee,,,hh
10,,2,,RFI,s,ee,,,hh
11,,2,,LFO,s,ee,,,hh
12,,2,,RFI,s,opmo,m,,hh
13,,2,,LBI,mo,ee,m,,hh
14,,2,,RBO,s,ee,,,cl
15,,4,,LBO,s,swr,,,cl
16,,1,,RBO,s,ee,,,cl
17,,1,,LBI,,ch,,,cl
18,,2,,RBO,s,ee,,,cl
19,,1,,LBO,s,ee,,,cl
20,,1,,RBI,,ch,,,cl
21,,2,,LBO,s,ee,,,cl
22,,4,,RBO,s,swr,,,cl
23,,4,,LBO,s,swr,,,cl
24,,2,,RBO,s,ee,,,hh
25,,2,,LFO,s,ee,,,hh
26,,2,,RFI,s,ee,,,hh
27,,2,,LFO,s,ee,,,hh
28,0,2,,RFI,s,ee,,no,hh
28,,2,,RFI,,slch,,yes,hh
29,,2,,LFO,s,ee,,,cl
30,,4,,RFO,s,swr,,,cl
