index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LBO,xb,ee,,,out,
2,,1,RBI,xf,ee,,,out,
3,,4,LBO,s,ee,,,cto,
4,,1,RBO,xb,ee,,,out,
5,,1,LFI,xf,ee,,,out,
6,,4,RBO,s,ee,,,cto,
7,,2,LFO,xb,ee,,,out,
8,,1,RFO,s,ee,,,out,
9,,1,LFI,xb,ee,,,out,
10,,4,RFO,s,ee,,,cto,0.3
11,,1,LFO,xf,ee,,,out,
12,,1,RFI,xb,ee,,,out,
13,,4,LFO,s,ee,,,cto,
14,,1,RFO,cr,tt,,,out,0.2
,,1_,RBI,tt,e,,,cl,
15,,4,LBO,s,swr,,,op,0.3
16,,1,RFI,s,ee,,,op,
17,,1,LFO,s,ee,,,op,
18,,2,RFI,s,ee,,,op,
19,,2,LFO,s,ee,,,op,
20,,4,RFO,s,swclmo,1,,op,0.1
21,,4,LBO,s,swr,1,,op,
22,,1,RFI,s,tt,,,cl,
,,5_,RBO,tt,e,,,cl,
1,,1,RFO,xf,ee,,,out,
2,,1,LFI,xb,ee,,,out,
3,,4,RFO,s,ee,,,cto,
4,,1,LFO,xf,ee,,,out,
5,,1,RFI,xb,ee,,,out,
6,,4,LFO,s,ee,,,cto,
7,,1,RFO,xf,rks,,,out,
,,1_,RBO,rk,e,,,out,
8,,1,LBO,xb,ee,,,out,
9,,1,RBI,xf,ee,,,out,
10,,4,LBO,s,ee,,,cto,0.3
11,,1,RBO,xb,ee,,,out,
12,,1,LFI,xf,ee,,,out,
13,,4,RBO,s,ee,,,cto,
14,,2,LBO,cr,ee,,,out,0.2
15,,4,RFO,s,swr,,,cl,0.3
16,,1,LFO,s,ee,,,op,
17,,1,RFI,s,ee,,,op,
18,,2,LFO,s,ee,,,op,
19,,2,RFI,s,ee,,,op,
20,,4,LFI,s,swclmo,,,op,0.1
21,,4,RBI,s,swr,,,op,
22a,,1,LFO,s,ee,,,op,
22b,,1,RFI,,ch,,,op,
22c,,4,LFO,s,ee,,,cl,
