index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold
1,,1,,RBO,pr,ee,1,,po
2,,1,,LBI,pr,pr,1,,po
3,,3,,RBO,pr,ee,1,,po
4,,1,,LBO,cr,ee,,,po
5,,2,,RBI,xf,ce,2,,po
,,1,+,RBO,c,e,2,,po
6,,3,,LBI,xf,ee,,,po
7,,3,,RBO,s,ee,,,po
8,,3,,LFO,s,ee,,,cl
9,,3,,RFO,s,ee,,,op
10,,2,,LFO,s,opmo,3,,op
11,,1,,RBO,mo,ee,3,,cl
12,,3,,LBI,s,ee,,,cl
13,,3,,RBO,s,ee,,,cl
14,,3,,LBO,cr,ee,,,out
15,,3,,RFO,s,ee,,,cl
16,,1,,LFO,pr,ee,4,,po
17,,1,,RFI,prx,pr,4,,po
18,,3,,LFO,pr,ee,4,,po
19,,1,,RFO,cr,ee,,,po
20,,2,,LFI,xb,ce,5,,po
,,1,+,LFO,c,e,5,,po
21,,3,,RFI,xb,ee,,,po
22,,3,,LFO,s,ee,,,po
23,,2,,RFO,cr,tt,6,,po
,,1,+,RBI,tt,e,6,,po
24,,6,,LBO,s,swr,,,cl
1,,1,,LFO,pr,ee,1,,po
2,,1,,RFI,prx,pr,1,,po
3,,3,,LFO,pr,ee,1,,po
4,,1,,RFO,cr,ee,,,po
5,,2,,LFI,xb,ce,2,,po
,,1,+,LFO,c,e,2,,po
6,,3,,RFI,xb,ee,,,po
7,,2,,LFO,s,tt,3,,po
,,1,+,LBI,tt,e,3,,po
8,,3,,RBO,s,ee,,,cl
9,2,3,,LFI,s,clcho,4,,op
10,,2,,RBO,cho,ee,4,,op
11,,1,,LBI,xf,ee,,,cl
12,,3,,RFI,s,ee,,,cl
13,,3,,LFO,s,ee,,,cl
14,,2,,RFO,cr,tt,5,,out
,,1,+,RBI,tt,e,5,,out
15,,3,,LBO,s,ee,,,cl
16,,1,,RBO,pr,ee,6,,po
17,,1,,LBI,pr,pr,6,,po
18,,3,,RBO,pr,ee,6,,po
19,,1,,LBO,cr,ee,,,po
20,,2,,RBI,xf,ce,7,,po
,,1,+,RBO,c,e,7,,po
21,,3,,LBI,xf,ee,,,po
22,,3,,RBO,s,ee,,,po
23,,3,,LBO,cr,ee,,,po
24,,6,,RFO,s,swr,,,cl
