index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,2,LFO,pr,ee,1,,k,
2,,1,RFI,prx,prx,1,,k,
3,,2,LFO,s,ce,2,,k,
,,1_,LFI,,Xce,2,,k,
4,,3,RFI,,,,,k,
5,,3,LFI,s,opmo,3,,k,0.6
6,,3,RBI,mo,ee,3,,rk,0.3
7,,6,LBO,,,,,rk,
8,,3,RFI,,,,,rk,
9,,3,LFO,,,,,rk,
10a,,2,RFO,cr,cr_tt,4,,rk,
,,1_,RBI,tt,e,4,,cl,
10b,,3,LBO,,,,,cl,
11,,2,RFI,,,,,op,
12,,1,LFO,xb,ee,,,op,
13,,6,RFI,s,swrk,5,,op,
,2,3_,RBI,rk,e,5,,op,
14,,3,LBO,,,,,op,
15,,3,RFI,s,s_tt,6,,op,
,,3_,RBI,tt,e,6,,cl,
16,,2,LBO,cr,ee,,,cl,
17,,1,RBI,pr,prb,,,cl,
18,,3,LBI,wd,ee,,,cl,
19,,3,RBO,,,,,cl,
20,,3,LBO,cr,ee,,,cl,
21a,,2,RFO,s,s_tt,7,,cl,0.4
,,1_,RBI,tt,e,7,,rk,
21b,,3,LBO,,,,,rk,
22,,5,RFO,s,cesw,8,,cs,0.7
,,1_,RFI,,Xce,8,,cs,
1,,2,LFO,pr,ee,1,,k,
2,,1,RFI,prx,prx,1,,k,
3,,2,LFO,s,ce,2,,k,
,,1_,LFI,,Xce,2,,k,
4,,3,RFI,,,,,k,
5,,3,LFI,s,opmo,3,,k,0.6
6,,3,RBI,mo,ee,3,,rk,0.3
7,,6,LBO,,,,,rk,
8,,3,RFI,,,,,rk,
9,,3,LFO,,,,,rk,
10,,6,RFO,cr,cr_swr,,,rk,
11,,2,LFO,,,,,op,
12,,1,RFI,xb,ee,,,op,
13,2,6,LFO,s,swctr,4,,op,
,,3_,LBO,ctr,e,4,,op,
14,,3,RBI,,,,,op,
15,,6,LFO,,,,,op,
16,,2,RFO,cr,ee,,,cl,
17,,1,LFI,prx,prx,,,cl,
18,,3,RFI,wd,ee,,,cl,
19,,3,LFO,,,,,cl,
20,,2,RFO,cr,cr_tt,5,,cl,
,,1_,RBI,tt,e,5,,cl,
21,,6,LBO,,,,,rk,0.3
22,,5,RFO,s,cesw,6,,cs,0.6
,,1_,RFI,,Xce,6,,cs,
