index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,2,LBO,s,ee,,,cl,
2,,1,RBI,,ch,,,cl,
3,,3,LBO,s,ee,,,cl,
4,,3,RBO,s,ee,,,cl,
5,,3,LFO,s,ee,,,cl,
6,0,3,RFI,s,ee,,no,cl,
6,,3,RFI,,slch,,yes,cl,
7,,3,LFO,s,ee,,,cl,
8,,2,RFO,s,tt,3,,cl,
,,1_,RBI,tt,e,3,,cl,
9,,2,LBO,pr,ee,pr1,,cl,
10,,1,RBO,prx,pr,pr1,,cl,
11,,3,LBO,pr,ee,pr1,,cl,
12,,2,RBO,s,ee,,,cl,
13,,1,LBI,s,ee,,,cl,
14,,3,RBO,s,ee,,,cl,
15,,3,LFO,s,ee,,,cl,
16,,3,RFO,s,ee,,,cl,
17,,3,LFI,s,ee,,,cl,
18,,3,RFI,s,opmo,m,,cl,
19,,3,LBI,mo,ee,m,,cl,
20,,2,RBO,pr,ee,pr2,,cl,
21,,1,LBI,prx,pr,pr2,,cl,
22,,3,RBO,pr,ee,pr2,,cl,
1,,2,RFO,s,ee,,,cl,
2,,1,LFI,,ch,,,cl,
3,,3,RFO,s,ee,,,cl,
4,,3,LFO,s,ee,,,cl,
5,,3,RFI,s,opmo,m,,cl,
6,,3,LBI,mo,ee,m,,cl,
7,,3,RBO,s,ee,,,cl,
8,,3,LBO,s,ee,,,cl,
9,,2,RFO,pr,ee,pr1,,cl,
10,,1,LFI,prx,pr,pr1,,cl,
11,,3,RFO,pr,ee,pr1,,cl,
12,,2,LFO,s,ee,,,cl,
13,,1,RFI,s,ee,,,cl,
14,,2,LFO,s,tt,3,,cl,
,,1_,LBI,tt,e,3,,cl,
15,,3,RBO,s,ee,,,cl,
16,,3,LBO,s,ee,,,cl,
17,,3,RBI,s,ee,,,cl,
18,,3,LFO,s,ee,,,cl,
19,0,3,RFI,s,ee,,no,cl,
19,,3,RFI,,slch,,yes,cl,
20,,2,LFO,pr,ee,pr2,,cl,
21,,1,RFI,prx,pr,pr2,,cl,
22,,3,LFO,pr,ee,pr2,,cl,
