index,duration,pathCount,beats,edge,step,label,desc,group,optional
1,,,2,LBO,,,,,
2,,,1,RBI,,,,,
3,,,3,LBO,,,,,
4,,,3,RBO,,,,,
5,,,3,LFO,,,,,
6,,0,3,RFI,,,,,1
6,,,3,RFI,slch,,,,
7,,,3,LFO,,,,,
8,8,,2+1,RFO,e3,RFO3,,3,
8,4,,2+1,RBI,e3,RFO3,,3,
9,,,2,LBO,pr,LBO,,pr1,
10,,,1,RBO,pr,,,pr1,
11,,,3,LBO,pr,LBO,,pr1,
12,,,2,RBO,,,,,
13,,,1,LBI,,,,,
14,,,3,RBO,,,,,
15,,,3,LFO,,,,,
16,,,3,RFO,,,,,
17,,,3,LFI,,,,,
18,,,3,RFI,opmo,,,m,
19,,,3,LBI,opmo,LBI,,m,
20,,,2,RBO,pr,LBO,,pr2,
21,,,1,LBI,pr,,,pr2,
22,,,3,RBO,pr,LBO,,pr2,
1,,,2,RFO,,,,,
2,,,1,LFI,,,,,
3,,,3,RFO,,,,,
4,,,3,LFO,,,,,
5,,,3,RFI,opmo,,,m,
6,,,3,LBI,opmo,LBI,,m,
7,,,3,RBO,,,,,
8,,,3,LBO,,,,,
9,,,2,RFO,pr,LFO,,pr1,
10,,,1,LFI,pr,,,pr1,
11,,,3,RFO,pr,LFO,,pr1,
12,,,2,LFO,,,,,
13,,,1,RFI,,,,,
14,8,,2+1,LFO,e3,LFO3,,3,
14,4,,2+1,LBI,e3,LFO3,,3,
15,,,3,RBO,,,,,
16,,,3,LBO,,,,,
17,,,3,RBI,,,,,
18,,,3,LFO,,,,,
19,,0,3,RFI,,,,,1
19,,,3,RFI,slch,,,,
20,,,2,LFO,pr,LFO,,pr2,
21,,,1,RFI,pr,,,pr2,
22,,,3,LFO,pr,LFO,,pr2,
